Name,Category,latitude ,longitude
"Akshaya Hospital, Kadavantra",hospital,9.9688956,76.2995386
Al Shifa Hospital,hospital,9.9786974,76.2867287
Al shifa Hospital,hospital,10.03057,76.3046046
Ambalamugal Medical Aid Society (AMAS),hospital,9.9740513,76.3815998
Carmel Hospital,hospital,10.0907392,76.36193
City Hospital,hospital,9.9808983,76.2832497
"COCHIN MEDICAL COLLAGE, ADMINISTRATIVE BLOCK",hospital,10.0531942,76.3554483
Co-operative Hospital,hospital,10.01816,76.34672
Dr. Joys' Hospital,hospital,9.9585788,76.3192419
Dr. Raju's Eye Hospital,hospital,9.9647734,76.3191089
Ephphatha Softech ??Ä??½??Ñ??? ?????ì??¬??Ç??Ü??ì??Ü??ì ??å??¿??ì?????ì ????????»????????Ö??ì ?????å,hospital,10.0059427,76.3053591
"ESI Dispensary , Fort Kochi",hospital,9.9572032,76.23993
Evershine Hospital,hospital,10.019515,76.3048237
Giridhar Eye Institute (GEI),hospital,9.9641496,76.3050675
Government Ayurveda Hospital,hospital,9.9437481,76.3490877
Govt Ayurveda Hospital ??ù????????«??å??¿??ì?????ì ??å??»??é????????ç??ª ??å?????ü??¬??ñ??ì??????,hospital,10.1238777,76.3475843
Govt Homeo Dispensary,hospital,10.0160984,76.2888545
"Govt Primary Health Center , Sreemoolanagaram.",hospital,10.1343226,76.4042427
Govt. Ayurvedic Hospital,hospital,9.9860255,76.2830106
Govt. General Hospital,hospital,9.9717381,76.2808657
Guatham Hospital,hospital,9.9473951,76.2560567
KIMS Speciality Hospital,hospital,10.0381284,76.3158419
Kotakkal,hospital,9.9647636,76.2872624
Lakshmi Hospital,hospital,9.9663384,76.2837833
Little Flower,hospital,10.1067229,76.2620556
Little Flower Hospital Pvt Ltd,hospital,10.1914842,76.3899028
M A J Hospital,hospital,10.0212383,76.3080345
Nair's Hospital Kochi,hospital,9.9501649,76.3180211
Najath Hospital,hospital,10.1110602,76.3515426
Naliyath Medical Chamber,hospital,9.9432462,76.3741513
Nettoor Primary Health Center,hospital,9.9193963,76.3127934
Nirmala Hospital,hospital,9.9446072,76.3727478
P.S. Mission Hospital,hospital,9.9379381,76.32291
PEDIATRIC EMERGENCY ROOM,hospital,10.052567,76.3555605
PNVM Hospital,hospital,9.9859833,76.2814393
Prana Ayurvedic Centre,hospital,10.1188241,76.3816906
Primary Health Centre,hospital,10.018185,76.3026934
"Primary Health Centre, Poothotta",hospital,9.8524163,76.3850392
Renai Medicity Hospital,hospital,10.0076468,76.3029789
Sarathy Ayurveda Clinic,hospital,10.1093589,76.3589857
Shanthi Hospital,hospital,10.1470025,76.2294297
Sree Lakshmi Hospital,hospital,9.9477428,76.2558092
St. George Hospital,hospital,9.9517544,76.3582963
Sudheendra Hospital,hospital,9.9855879,76.283236
Sunrise Hospital,hospital,10.0251575,76.338952
Thaqdees,hospital,10.0707102,76.3973101
The Touch Aesthetic Medical Clinic,hospital,9.9770913,76.3170145
The Touch Aesthetic Medical Clinic,hospital,9.9770913,76.3170145
Top Most - 24hr Hospital,hospital,10.1480537,76.2453645
Varma Hospital,hospital,9.9538555,76.3423588
Vasan Eye Care Hospital,hospital,9.953882,76.29296
"Akshaya Hospital, Kadavantra",hospital,9.9688956,76.2995386
Al Shifa Hospital,hospital,9.9786974,76.2867287
Al shifa Hospital,hospital,10.03057,76.3046046
Ambalamugal Medical Aid Society (AMAS),hospital,9.9740513,76.3815998
Carmel Hospital,hospital,10.0907392,76.36193
City Hospital,hospital,9.9808983,76.2832497
"COCHIN MEDICAL COLLAGE, ADMINISTRATIVE BLOCK",hospital,10.0531942,76.3554483
Co-operative Hospital,hospital,10.01816,76.34672
Dr. Joys' Hospital,hospital,9.9585788,76.3192419
Dr. Raju's Eye Hospital,hospital,9.9647734,76.3191089
Ephphatha Softech ??Ä??½??Ñ??? ?????ì??¬??Ç??Ü??ì??Ü??ì ??å??¿??ì?????ì ????????»????????Ö??ì ?????å,hospital,10.0059427,76.3053591
"ESI Dispensary , Fort Kochi",hospital,9.9572032,76.23993
Evershine Hospital,hospital,10.019515,76.3048237
Giridhar Eye Institute (GEI),hospital,9.9641496,76.3050675
Government Ayurveda Hospital,hospital,9.9437481,76.3490877
Govt Ayurveda Hospital ??ù????????«??å??¿??ì?????ì ??å??»??é????????ç??ª ??å?????ü??¬??ñ??ì??????,hospital,10.1238777,76.3475843
Govt Homeo Dispensary,hospital,10.0160984,76.2888545
"Govt Primary Health Center , Sreemoolanagaram.",hospital,10.1343226,76.4042427
Govt. Ayurvedic Hospital,hospital,9.9860255,76.2830106
Govt. General Hospital,hospital,9.9717381,76.2808657
Guatham Hospital,hospital,9.9473951,76.2560567
KIMS Speciality Hospital,hospital,10.0381284,76.3158419
Kotakkal,hospital,9.9647636,76.2872624
Lakshmi Hospital,hospital,9.9663384,76.2837833
Little Flower,hospital,10.1067229,76.2620556
Little Flower Hospital Pvt Ltd,hospital,10.1914842,76.3899028
M A J Hospital,hospital,10.0212383,76.3080345
Nair's Hospital Kochi,hospital,9.9501649,76.3180211
Najath Hospital,hospital,10.1110602,76.3515426
Naliyath Medical Chamber,hospital,9.9432462,76.3741513
Nettoor Primary Health Center,hospital,9.9193963,76.3127934
Nirmala Hospital,hospital,9.9446072,76.3727478
P.S. Mission Hospital,hospital,9.9379381,76.32291
PEDIATRIC EMERGENCY ROOM,hospital,10.052567,76.3555605
PNVM Hospital,hospital,9.9859833,76.2814393
Prana Ayurvedic Centre,hospital,10.1188241,76.3816906
Primary Health Centre,hospital,10.018185,76.3026934
"Primary Health Centre, Poothotta",hospital,9.8524163,76.3850392
Renai Medicity Hospital,hospital,10.0076468,76.3029789
Sarathy Ayurveda Clinic,hospital,10.1093589,76.3589857
Shanthi Hospital,hospital,10.1470025,76.2294297
Sree Lakshmi Hospital,hospital,9.9477428,76.2558092
St. George Hospital,hospital,9.9517544,76.3582963
Sudheendra Hospital,hospital,9.9855879,76.283236
Sunrise Hospital,hospital,10.0251575,76.338952
Thaqdees,hospital,10.0707102,76.3973101
The Touch Aesthetic Medical Clinic,hospital,9.9770913,76.3170145
The Touch Aesthetic Medical Clinic,hospital,9.9770913,76.3170145
Top Most - 24hr Hospital,hospital,10.1480537,76.2453645
Varma Hospital,hospital,9.9538555,76.3423588
Vasan Eye Care Hospital,hospital,9.953882,76.29296
Central Police Station,police,9.9872015,76.2761491
Cerebtec Technologies pvt.ltd,police,9.9960152,76.2891741
Customs,police,9.9691797,76.2512745
Ernakulam Rural DSP office,police,10.1001859,76.3573256
ET North Cusba Police Station,police,9.9888236,76.2826979
Fort Cochi police station,police,9.9671653,76.2441193
highway police k-24 n paravur,police,10.1483663,76.2310992
HILL PALACE POLICE CAMP,police,9.9536223,76.360905
"Janamythri Police Station, Kadavantra",police,9.97031,76.2971543
Kalamassery Police Station,police,10.0461728,76.3168964
Kerala Railway Police Station,police,9.9682328,76.2912524
Nedumbassery Police Station,police,10.1600011,76.3927005
office of circle inspector of police,police,10.1481672,76.2310425
Palarivattom Police Station,police,10.0025167,76.3059975
Pallipuram Police Station,police,10.169685,76.1814648
Police Aid Post,police,10.119689,76.3427042
Police Aid Post,police,10.0246127,76.3077234
Police Signal Control,police,10.0616167,76.2883836
Police Station,police,10.1512194,76.3383666